ID,Title,Likes,Views,Comments view,Time,Type,Publisher
sHky_Xopyrw,Kamala Harris Launches Her Campaign for President,77 k,1.7 M,15476,Before,Ad,Kamala Harris
WkwZ_A49hb8,"Kamala Harris and Tim Walz on tacos, music, and the future of America",121 k,2 M,26435,Before,Speech,Kamala Harris
1aZLL63wlTU,Kamala Harris accepts the nomination for President of the United States | Harris-Walz 2024,7.8 k,707 k,4022,Before,Speech,Kamala Harris
tI_FqaAotA8,100 Days Out | Harris-Walz 2024,21k,268 k,4472,Before,Ad,Kamala Harris
4r-RioTaigs,Vice President Kamala Harris' Economic Policy for Down Payment Assistance | Harris-Walz 2024,972,508,536,After,Speech,Kamala Harris
E1XIGOmyq_w,Vice President Kamala Harris' message on preparations for Hurricane Milton,5.4 k,48k,1078,After,Speech,Kamala Harris
YEOVT4DhZC0,Say It To My Face | Harris-Walz 2024,8.2 k,182 k,2189,After,Ad,Kamala Harris
i2F9qGxTKcU,Tougher | Harris-Walz 2024,5.9 k,198 k,1693,After,Ad,Kamala Harris
4aw5FziSc14,Presidential debate highlights from Trump and Harris's first showdown of 2024,7.4 k,1 M,6642,Debate,Highlights,ABC News
4dOgWZsDB6Q&t,DEBATE REPLAY: VP Harris and former President Trump l ABC News Presidential Debate,27 k,3.8 M,19105,Debate,Replay,ABC News
npgogT5ir4M,US Presidential Debate 2024: Top Highlights | Kamala Harris Vs Donald Trump | Best 9 Minutes,21 k,2.3 M,11565,Debate,Highlights,Mint
4IGd0BrrXoI,"Trump, Harris face off at the ABC News Presidential Debate",27 k,1.8 M,15664,Debate,Full,Fox News
SAL-mNE10TA,Presidential Debate Highlights Between Trump And Biden 2024 | Insider News,13 k,1.6,5915,Debate,Highlights,Insider News
VgsC_aBquUE&t,Full Debate: Harris vs. Trump in 2024 ABC News Presidential Debate | WSJ,153 k,13 M,84415,Debate,Full,The Wall Street Journal
0RLhu9Ngchc,Kamala was in on it.,66 k,530 k,8013,Before,Ad,Donald J Trump
diniBC70rdI,MAKE AMERICA GREAT AGAIN!,113 k,1 M,11855,Before,Ad,Donald J Trump
quxzCrGk32s,The truth is that Biden’s Executive Order won’t STOP the invasion—it will make the invasion WORSE.,36 k,208 k,5624,Before,Speech,Donald J Trump
MWJefXpYIXY,"President Donald J. Trump Keynotes the Minnesota GOP Annual Dinner in St. Paul, MN",9.5 k,87 k,2964,Before,Speech,Donald J Trump
0l46PUAQu90,"""Day One""",39 k,489 k,4765,After,Ad,Donald J Trump
tNGBB52inSk,FULL INTERVIEW: President Donald J. Trump on Gutfeld,100 k,2.2 M,13016,After,Speech,Donald J Trump
5OVOSIQOfpM,MAKE AMERICA GREAT AGAIN ????,48 k,255 k,5365,After,Ad,Donald J Trump
rnWx6znh9PQ,"President Trump Speaks at October 7 Remembrance Event in Miami, Florida",4.6,39 k,1131,After,Speech,Donald J Trump
